,Unnamed: 0,budget,id,release_date,revenue,runtime,title,genre,profit,made_money,cast_0,cast_1,cast_2,cast_3,cast_4,director,writer,releases,cast_rev,cast_prof,cast_films,cast_prof_films,dir_rev,dir_prof,dir_films,dir_prof_films,writ_rev,writ_prof,writ_films,writ_prof_films,compet_cast_rev,compet_cast_prof,compet_cast_films,compet_cast_prof_films,compet_dir_rev,compet_dir_prof,compet_dir_films,compet_dir_prof_films,compet_writ_rev,compet_writ_prof,compet_writ_films,compet_writ_prof_films,adj_budget,cast_dir_avg_rev,month,year,decade,season,fall,spring,summer,winter,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,None,Romance,Science Fiction,Thriller,War,Western,compet_budget,compet_cast_dir_avg_rev,compet_adj_budget
855,855,7500000.0,9395,1988-04-08,18869631.0,99.0,Above the Law,Action,11369631.0,1,Steven Seagal,Pam Grier,Henry Silva,Sharon Stone,Ron Dean,Andrew Davis,Steven Pressfield,7,10247601.0,497601.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36041199.61111111,24180847.62962963,8.666666666666666,7.0,24014933.83333333,19519933.83333333,1.3333333333333333,1.3333333333333333,433333.33333333326,-66666.66666666669,0.3333333333333333,0.0,-2376199.5,5123800.5,4,1988,1980,spring,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10333333.333333334,30028066.72222222,19694733.388888888
856,856,80000000.0,9397,2001-06-08,98376292.0,101.0,Evolution,Action,18376292.0,1,David Duchovny,Julianne Moore,Orlando Jones,Seann William Scott,Ted Levine,Ivan Reitman,David Diamond,44,117883832.03333336,87900498.7,21.0,13.0,157185712.33333334,121352379.0,6.0,5.0,0.0,0.0,0.0,0.0,81136007.74349208,45764638.69587302,16.857142857142858,11.428571428571427,114315951.17857143,71887379.75,1.8571428571428568,1.5714285714285714,66951269.85714286,41379841.28571428,0.42857142857142855,0.2857142857142857,57534772.18333334,137534772.18333334,6,2001,2000,summer,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75285714.28571428,97725979.46103176,22440265.17531748
857,857,28000000.0,9398,2001-09-28,60780981.0,89.0,Zoolander,Comedy,32780981.0,1,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,Milla Jovovich,Ben Stiller,Drake Sather,42,103726602.61111112,72237713.72222222,17.0,11.0,20079850.0,8579850.0,1.0,1.0,0.0,0.0,0.0,0.0,126665386.10459436,93609648.32328926,15.444444444444445,9.888888888888893,7489689.555555556,-10510310.444444444,0.7777777777777778,0.2222222222222222,21236451.222222224,16458673.444444446,0.3333333333333333,0.2222222222222222,33903226.30555556,61903226.30555556,9,2001,2000,fall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22944444.444444444,67077537.83007496,44133093.38563052
858,858,6000000.0,9399,1990-06-07,24271196.0,105.0,Lionheart,Action,18271196.0,1,Jean-Claude Van Damme,Harrison Page,Deborah Rennard,Ashley Johnson,Brian Thompson,Sheldon Lettich,Sheldon Lettich,5,12431732.0,11431732.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61631009.25833334,46671592.59166667,9.6,8.2,68411447.41190477,54305542.65,3.0,2.6,104125072.2,89425072.2,1.2,0.8,215866.0,6215866.0,6,1990,1990,summer,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28100000.0,65021228.33511905,36921228.33511905
859,859,9000000.0,9400,1996-11-06,41590886.0,123.0,Set It Off,Crime,32590886.0,1,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Kimberly Elise,Blair Underwood,F. Gary Gray,Takashi Bufford,1,62020587.66666666,39520587.66666666,3.0,3.0,28215918.0,24715918.0,1.0,1.0,0.0,0.0,0.0,0.0,71961338.80616605,49719055.53388279,10.0,7.2857142857142865,88121606.97619048,69835892.69047621,1.4285714285714286,1.4285714285714286,45863480.85714286,37451576.0952381,1.4285714285714286,1.1428571428571428,36118252.83333333,45118252.83333333,11,1996,1990,winter,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46500000.0,80041472.89117827,33541472.891178265
860,860,28000000.0,9403,1997-03-07,41230799.0,109.0,Private Parts,Comedy,13230799.0,1,Howard Stern,Mary McCormack,Kelly Bishop,Paul Giamatti,Leslie Bibb,Betty Thomas,Michael Kalesniko,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78231400.64468254,53947603.49103174,13.2,9.2,130882565.53333336,114782565.53333336,2.0,2.0,48551889.0,33151889.0,0.4,0.4,-28000000.0,0.0,3,1997,1990,spring,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44400000.0,104556983.08900794,60156983.089007944
861,861,22000000.0,9406,1997-12-25,26570463.0,105.0,An American Werewolf in Paris,Horror,4570463.0,1,Tom Everett Scott,Julie Delpy,Vince Vieluf,Julie Bowen,Phil Buckman,Anthony Waller,Tom Stern,4,2977183.0,977183.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77394936.5519557,50793949.80326173,13.181818181818182,10.090909090909092,88808264.18961039,78177095.35844156,1.4545454545454546,1.3636363636363635,161984232.00757575,145902792.61363637,1.5454545454545454,1.181818181818182,-20511408.5,1488591.5,12,1997,1990,winter,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40000000.0,83101600.37078305,43101600.370783046
862,862,48000000.0,9407,1997-10-30,22420000.0,122.0,Red Corner,Crime,-25580000.0,0,Richard Gere,Bai Ling,Bradley Whitford,Byron Mann,Peter Donat,Jon Avnet,Robert King,6,70032920.23333333,48112920.23333333,8.0,5.0,119418501.0,108418501.0,1.0,1.0,0.0,0.0,0.0,0.0,48201201.97941224,29464669.7159614,11.285714285714285,7.857142857142858,15936603.57142857,12698508.333333332,0.42857142857142855,0.2857142857142857,61221160.5,54506874.78571428,0.7142857142857143,0.7142857142857143,46725710.61666668,94725710.61666667,10,1997,1990,fall,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41757142.85714286,32068902.775420405,-9688240.081722453
863,863,85000000.0,9408,2007-06-08,149044513.0,85.0,Surf's Up,Animation,64044513.0,1,Shia LaBeouf,Jeff Bridges,Zooey Deschanel,Jon Heder,James Woods,Ash Brannon,Ash Brannon,11,57659315.02761905,24563226.13873016,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103576469.8376728,62787646.08896281,21.6,15.8,96584217.0375,71510883.70416667,2.2,1.7,72695327.33333333,56246994.0,0.9,0.8,-56170342.48619048,28829657.513809524,6,2007,2000,summer,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64820000.0,100080343.4375864,35260343.4375864
864,864,25000000.0,9410,1998-01-19,55494066.0,111.0,Great Expectations,Comedy,30494066.0,1,Gwyneth Paltrow,Ethan Hawke,Chris Cooper,Anne Bancroft,Robert De Niro,Alfonso Cuarón,Mitch Glazer,3,43731205.05,27062316.16111111,32.0,24.0,0.0,0.0,0.0,0.0,60328558.0,28328558.0,1.0,1.0,90753754.74730726,63608927.6498016,9.714285714285714,6.857142857142858,3890311.2857142864,1890311.2857142857,0.2857142857142857,0.14285714285714285,57370636.04761905,48818731.28571428,0.8571428571428571,0.42857142857142855,-3134397.475000001,21865602.525,1,1998,1990,spring,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21357142.85714286,47322033.01651077,25964890.15936791
